factor_no,factor_id,factor_name,category,protocol_role,usage_type,economic_meaning,formula,expected_direction,data_source,implementation_status,unavailable_reason,binary,available,development_coverage,development_missing_rate,development_unique_values,development_observations,development_instruments,event_feature,raw_available_date,ml_inclusion_rule,factor_name_metric,category_metric,protocol_role_metric,usage_type_metric,economic_meaning_metric,expected_direction_metric,orientation,coverage,ic_observations,ic_mean,rank_ic,ic_std,ic_ir,rank_ic_std,rank_ic_ir,rank_ic_hit_rate,p_ic_gt_002,p_ic_lt_neg002,rank_ic_t_stat,rank_ic_p_value,factor_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,turnover,t_stat,p_value,annual_return_0bps,sharpe_0bps,annual_return_3bps,sharpe_3bps,annual_return_5bps,sharpe_5bps,annual_return_10bps,sharpe_10bps,monotonicity,group_return_spread,rank_ic_fdr_q,portfolio_fdr_q,screening_class,enters_ml,ml_inclusion_note,positive_year_rate,yearly_rank_ic_std,delayed_1d_rank_ic,feature_name,correlation_cluster,cluster_representative,max_abs_feature_correlation,evaluated_products,positive_product_rate,median_product_rank_ic,evaluated_sectors,positive_sector_rate,median_sector_rank_ic
1,tsmom_60,时间序列动量,trend_momentum,core,predictor,波动率调整后的中期趋势延续,log_return_60/(vol_60*sqrt(60)),positive,实际主力合约收益,computed,,False,True,0.9605489819547598,0.039451018045240205,67964,68028,30,False,2015-04-07,pre_registered_and_data_quality_pass,时间序列动量,trend_momentum,core,predictor,波动率调整后的中期趋势延续,positive,1.0,0.9986122033584679,1450,-0.004655762489440449,-0.006862567523740022,0.27894578330288133,-0.016690564145883463,0.2678300555266534,-0.025622843225140152,0.4917241379310345,0.4668965517241379,0.476551724137931,-0.5473381079933389,0.5842307561665976,-0.18060027990236338,-0.034024373178885736,0.10069442911967694,-0.2930530979661421,-0.2516550887181287,-0.13520240481604334,0.5441379310344828,-0.7139807880981087,0.4758152876929592,-0.020675505788458337,-0.1569281350370645,-0.028706290596741124,-0.2386157736064861,-0.034024373178885736,-0.2930530979661421,-0.047195458221637065,-0.4290606226896848,0.0,-0.0005435394612906194,0.7151716225977933,0.9483661619600654,E 暂不使用因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.3333333333333333,0.026065224022749335,-0.005797477817416374,tsmom_60__csz,1.0,tsmom_60__csz,0.8984494128756622,30,0.36666666666666664,-0.03574646933038365,4,0.75,0.006629409386599436
2,csmom_60,横截面动量,trend_momentum,core,predictor,同日商品过去收益相对强弱,cross_sectional_rank(log_return_60),positive,实际主力合约收益,computed,,False,True,0.9617068142667533,0.03829318573324669,152,68110,30,False,2015-04-07,pre_registered_and_data_quality_pass,横截面动量,trend_momentum,core,predictor,同日商品过去收益相对强弱,positive,1.0,0.9986122033584679,1450,-0.0050753488581843425,-0.008735254231848122,0.3008425871878487,-0.01687044678622994,0.28887954790104786,-0.030238396228867943,0.49724137931034484,0.48482758620689653,0.46620689655172415,-0.6410863483436952,0.5215679635820872,-0.16818073284047763,-0.03149562368196068,0.11254746835058847,-0.22783615977608646,-0.23358550777529608,-0.13483552118421127,0.5040229885057471,-0.5735800230807657,0.5666981093888409,-0.0191091877611117,-0.11497290223288363,-0.02655947501238276,-0.1826897706353066,-0.03149562368196068,-0.22783615977608646,-0.04372937519839615,-0.34069978073944435,-0.7,-0.0003299401430858638,0.6854893235650289,0.9483661619600654,E 暂不使用因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.3333333333333333,0.025578306014984162,-0.006830079909495217,csmom_60__csz,3.0,csmom_60__csz,0.8757615755851609,30,0.3333333333333333,-0.02154681723294692,4,0.75,0.019453500514890486
3,trend_efficiency_60,趋势效率,trend_momentum,core,predictor,价格路径的单向和平滑程度,"abs(log_return_60)/sum(abs(daily_log_return),60)",positive,实际主力合约收益,computed,,False,True,0.9605489819547598,0.039451018045240205,67965,68028,30,False,2015-04-07,pre_registered_and_data_quality_pass,趋势效率,trend_momentum,core,predictor,价格路径的单向和平滑程度,positive,1.0,0.9986122033584679,1450,0.008809209619089058,0.004989955546937553,0.25709119519310164,0.03426492149010566,0.24392483459304531,0.020456939348806366,0.5089655172413793,0.48482758620689653,0.4517241379310345,0.44965590242234216,0.6530258263225821,-0.026948757474700713,-0.004736519898970726,0.08797468196277655,-0.010121893848981432,-0.22089565931280852,-0.021442340305399026,0.9050574712643678,-0.02485014351693276,0.9801916443416228,0.018222673400797085,0.24914188302009227,0.0043857632958792525,0.09358198542245984,-0.004736519898970726,-0.010121893848981432,-0.02718925912174508,-0.2693147155460153,0.3,0.0004965900681289659,0.7509797002709695,0.98475095540502,E 暂不使用因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.6666666666666666,0.02358415610376494,0.00430630345129616,trend_efficiency_60__csz,4.0,trend_efficiency_60__csz,0.17571216218945443,30,0.6,0.006017852342847572,4,0.75,0.0061206396662466
4,multi_horizon_trend,多周期趋势一致性,trend_momentum,core,predictor,20/60/120日趋势方向一致程度,"mean(sign(return_20),sign(return_60),sign(return_120))",positive,实际主力合约收益,computed,,False,True,0.9327468865606733,0.06725311343932672,5,66059,30,False,2015-07-02,pre_registered_and_data_quality_pass,多周期趋势一致性,trend_momentum,core,predictor,20/60/120日趋势方向一致程度,positive,1.0,0.9972244067169358,1450,-0.005505095316537469,-0.009897511745587355,0.25364528142053244,-0.02170391377165132,0.25434166342854037,-0.03891423690546143,0.49517241379310345,0.46413793103448275,0.4820689655172414,-0.839021683396291,0.40159553537444637,-0.1214151404037066,-0.022245108412176196,0.08225659990262059,-0.23235694549249025,-0.2278348517650094,-0.09763698679041419,0.715632183908046,-0.5921667067970104,0.5542019523641174,-0.004451878770599715,-0.013106638695870428,-0.015165410666951429,-0.14461792319759184,-0.022245108412176196,-0.23235694549249025,-0.03972755336688527,-0.45188285226057756,-0.3,-8.449495386471297e-05,0.6420691664945198,0.9483661619600654,E 暂不使用因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.3333333333333333,0.02727071208703974,-0.006984888504950189,multi_horizon_trend__csz,5.0,multi_horizon_trend__csz,0.6187356705832221,30,0.43333333333333335,-0.006957100952920597,4,0.75,0.006351279359199661
5,carry_annualized,Carry因子,term_structure,core,predictor,完整可交易曲线最近两个合约之间的年化期限结构补偿,log(curve_near/curve_middle)*365/maturity_gap,positive,完整实际合约曲线、收盘价、持仓量、成交量与到期日,computed,,False,True,0.9819688797266386,0.0180311202733614,68130,69545,30,False,2015-01-05,pre_registered_and_data_quality_pass,Carry因子,term_structure,core,predictor,完整可交易曲线最近两个合约之间的年化期限结构补偿,positive,1.0,0.9992598417911829,1450,0.030135494650002807,0.029277502214980333,0.2936528903059156,0.1026228436526161,0.2619214876862873,0.1117796881561968,0.546896551724138,0.5110344827586207,0.4393103448275862,2.3106896102460124,0.02098984484568295,0.19841588866351967,0.03195664404892451,0.09838753373136805,0.3689284759563689,-0.27414523459112383,0.11656830036307765,0.46919540229885054,0.8153938109295875,0.41551840661491646,0.04422277640379235,0.4891041329390811,0.03684612573583057,0.41700161334904134,0.03195664404892451,0.3689284759563689,0.019831199036743685,0.24873865619629926,0.9999999999999999,0.0018336033427099345,0.19310657258028313,0.9483661619600654,B 辅助预测因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.8333333333333334,0.04184076262094214,0.028309368029363485,carry_annualized__csz,7.0,carry_annualized__csz,0.6994149572231179,30,0.6333333333333333,0.017775455382243153,4,0.75,0.01835576144505544
6,carry_change_20,Carry变化,term_structure,core,predictor,期限结构二十日边际变化,carry_t-carry_t-20,positive,主力与次近月收盘价、到期日,computed,,False,True,0.9645166756092739,0.0354833243907261,68253,68309,30,False,2015-02-02,pre_registered_and_data_quality_pass,Carry变化,term_structure,core,predictor,期限结构二十日边际变化,positive,1.0,0.9976407457093954,1450,-0.02656395518020195,-0.009002980925107849,0.24717239523759868,-0.10747136691646693,0.21653314376231134,-0.041577842397145584,0.48,0.4289655172413793,0.5062068965517241,-0.9334644989361194,0.3507357104667279,-0.3388530264301002,-0.06938717318013776,0.08756635276913026,-0.7768604319731244,-0.382739755078779,-0.18129073935853843,0.8832183908045976,-1.9777152217012062,0.048910646263829974,-0.04840444457407034,-0.5234524337905296,-0.061048942578885046,-0.6755979669048929,-0.06938717318013776,-0.7768604319731244,-0.08991724068038565,-1.0293802079235042,-0.3,-0.001793469908391193,0.6420691664945198,0.9483661619600654,E 暂不使用因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.3333333333333333,0.021244344872898592,-0.009315668650480056,carry_change_20__csz,9.0,carry_change_20__csz,0.44660637350035265,30,0.5,-0.002406511546568448,4,0.25,-0.004334452442601706
7,basis_fresh,基差,basis_spot,extension,predictor,新鲜现货相对主力期货的强弱,(fresh_spot-main_close)/main_close,positive,现货价格、观察日、主力收盘价,computed,,False,True,0.8078280760215752,0.19217192397842475,54013,57212,27,False,2015-01-06,pre_registered_and_data_quality_pass,基差,basis_spot,extension,predictor,新鲜现货相对主力期货的强弱,positive,1.0,0.7485081186103529,1208,0.03329662307359992,0.03089087336184375,0.273139332759503,0.12190343564658751,0.23991979587668683,0.12875500018231484,0.5513245033112583,0.5182119205298014,0.41804635761589404,2.499451681336237,0.012570540832539213,0.3623471892340644,0.06651600336017371,0.09273900158034203,0.7411426256898672,-0.13123857587239518,0.506832712241925,0.6173553719008265,1.7248717760663053,0.08583263021673723,0.08322185247499769,0.909498616772838,0.07316793360834906,0.8084683191865867,0.06651600336017371,0.7411426256898672,0.05006182338482579,0.5729501061972297,0.7,0.003046890965629246,0.19260628031767363,0.9483661619600654,B 辅助预测因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.6666666666666666,0.08148206733035854,0.030367444110375917,basis_fresh__csz,11.0,basis_fresh__csz,0.5521188690156008,27,0.7777777777777778,0.05323975311741271,3,1.0,0.022805918867753933
8,basis_shock_20,基差冲击,basis_spot,extension,predictor,基差日变化相对历史条件分布的异常,zscore(delta_basis; prior_20),positive,现货价格、观察日、主力收盘价,computed,,False,True,0.7957273163706193,0.20427268362938067,56355,56355,27,False,2015-01-21,pre_registered_and_data_quality_pass,基差冲击,basis_spot,extension,predictor,基差日变化相对历史条件分布的异常,positive,1.0,0.7420548642272285,1198,0.003103479042371166,0.0011683518252807378,0.24128997405794816,0.012862030652072743,0.24383331750921533,0.004791600414642194,0.501669449081803,0.4699499165275459,0.4590984974958264,0.1886906536771765,0.8503672627166182,-0.12807844251976286,-0.02848847486855166,0.08109633864550143,-0.31625921977132215,-0.21323555690280582,-0.13360095887543227,1.6033472803347282,-0.7218681340979809,0.4710841658032626,0.011582066402487712,0.1820702902667605,-0.012650390335686157,-0.11699693885243327,-0.02848847486855166,-0.31625921977132215,-0.06700285561132602,-0.8139159426272511,0.3,0.0003143730771698974,0.889020320112828,0.9483661619600654,E 暂不使用因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.5,0.042079450590445974,-0.00031948061702034977,basis_shock_20__csz,13.0,basis_shock_20__csz,0.4937067263183487,27,0.6666666666666666,0.011236444675940547,3,0.6666666666666666,0.00682425126919473
9,basis_momentum_20,基差动量,basis_spot,extension,predictor,新鲜可用基差的二十日边际变化,basis_t-basis_t-20,positive,延迟一交易日可用的现货与主力收盘价,computed,,False,True,0.7920279009347377,0.20797209906526226,56080,56093,27,False,2015-02-03,pre_registered_and_data_quality_pass,基差动量,basis_spot,extension,predictor,新鲜可用基差的二十日边际变化,positive,1.0,0.7417541749548966,1198,-0.01128469314836251,-0.005176050963283342,0.3025055351666128,-0.0373040881455183,0.2583641460530427,-0.02003393676079454,0.48831385642737896,0.46327212020033387,0.48580968280467446,-0.4045087835900217,0.6859108879010101,-0.08781735063205054,-0.019117063636485354,0.09329217469594384,-0.16025589914346744,-0.19650291633688077,-0.09728641178898044,0.9816666666666668,-0.309011780301406,0.7575817713608995,0.0054516167682543415,0.104855119712252,-0.009360900591657617,-0.05417834159996363,-0.019117063636485354,-0.16025589914346744,-0.0430980116414873,-0.42559915605824955,-0.09999999999999999,-0.00017204766325384967,0.7695585571572309,0.9483661619600654,E 暂不使用因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.5,0.12135456151304856,-0.002338135407062181,basis_momentum_20__csz,14.0,basis_momentum_20__csz,0.6349277164701939,27,0.48148148148148145,-0.00025887097094270066,3,0.6666666666666666,0.007715862250297741
10,curve_curvature,期限结构曲率,term_structure,core,predictor,曲线第二个合约相对第一和第三个合约线性插值的弯曲程度,"2*(log(middle)-interpolate(log(near),log(far)))",mixed,通过流动性和期限硬门的前三个实际合约,computed,,False,True,0.807842195927819,0.19215780407218097,57095,57213,30,False,2015-01-05,pre_registered_and_data_quality_pass,期限结构曲率,term_structure,core,predictor,曲线第二个合约相对第一和第三个合约线性插值的弯曲程度,mixed,1.0,0.9268399870472314,1450,-0.0005017680317378466,-0.007598151599550175,0.23926779893914096,-0.0020970980381086464,0.2158950877235363,-0.03519372154164045,0.4862068965517241,0.46206896551724136,0.48,-0.7908643241804012,0.4291525916512976,-0.26610376010948444,-0.052349423775276294,0.07675990481469323,-0.6618690206516724,-0.3296719092027838,-0.1587924913040612,0.7973563218390806,-1.7171001532670367,0.0870322172598219,-0.033099012033395936,-0.3999737632122465,-0.044694599581034944,-0.557107383427492,-0.052349423775276294,-0.6618690206516724,-0.07122535567510957,-0.9237044055971689,-0.39999999999999997,-0.0015717646825912708,0.6420691664945198,0.9483661619600654,E 暂不使用因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.3333333333333333,0.03971089795862495,-0.009496764837131482,curve_curvature__csz,15.0,curve_curvature__csz,0.5262275607364006,30,0.36666666666666664,-0.025930011708793915,4,0.5,0.0009469234057155088
