feature_name,source_factor,source_factor_id,transformation,category,economic_meaning,available_date,missing_rate,usage_type,classification,correlation_cluster
csmom_20__cs_robust_z,横截面动量,2,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,趋势与动量,过去相对强势品种可能继续跑赢弱势品种,因子日T收盘后形成，T+1开盘可用,0.014689320863732067,predictor,B,26.0
csmom_20__missing,横截面动量,2,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,B,26.0
trend_efficiency_20__cs_robust_z,趋势效率,3,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,趋势与动量,区分平滑趋势与高噪声路径,因子日T收盘后形成，T+1开盘可用,0.025412525094256476,conditional,C,39.0
trend_efficiency_20__missing,趋势效率,3,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,C,39.0
momentum_quality_20__cs_robust_z,动量质量,41,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,趋势与动量,平滑趋势比震荡路径更可能持续,因子日T收盘后形成，T+1开盘可用,0.025412525094256476,predictor,B,26.0
momentum_quality_20__missing,动量质量,41,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,B,26.0
vol_managed_momentum_20__cs_robust_z,波动率管理动量,42,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,趋势与动量,按波动缩放可稳定不同品种风险预算,因子日T收盘后形成，T+1开盘可用,0.025412525094256476,risk,D,27.0
vol_managed_momentum_20__missing,波动率管理动量,42,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,D,27.0
trend_efficiency_60__cs_robust_z,趋势效率,3,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,趋势与动量,区分平滑趋势与高噪声路径,因子日T收盘后形成，T+1开盘可用,0.055060471037555694,conditional,C,37.0
trend_efficiency_60__missing,趋势效率,3,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,C,37.0
realized_vol_60__cs_robust_z,已实现波动率,24,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,波动率与风险,历史二次变差估计未来风险状态,因子日T收盘后形成，T+1开盘可用,0.033369240562111345,risk,D,13.0
realized_vol_60__missing,已实现波动率,24,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,D,13.0
vol_managed_momentum_60__cs_robust_z,波动率管理动量,42,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,趋势与动量,按波动缩放可稳定不同品种风险预算,因子日T收盘后形成，T+1开盘可用,0.055060471037555694,risk,D,24.0
vol_managed_momentum_60__missing,波动率管理动量,42,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,D,24.0
tsmom_120__cs_robust_z,时间序列动量,1,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,趋势与动量,价格冲击与机构调仓可能形成中期延续,因子日T收盘后形成，T+1开盘可用,0.09836948538412574,predictor,B,18.0
tsmom_120__missing,时间序列动量,1,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,B,18.0
csmom_120__cs_robust_z,横截面动量,2,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,趋势与动量,过去相对强势品种可能继续跑赢弱势品种,因子日T收盘后形成，T+1开盘可用,0.0881359251823924,predictor,B,18.0
csmom_120__missing,横截面动量,2,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,B,18.0
trend_efficiency_120__cs_robust_z,趋势效率,3,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,趋势与动量,区分平滑趋势与高噪声路径,因子日T收盘后形成，T+1开盘可用,0.09836948538412574,conditional,C,38.0
trend_efficiency_120__missing,趋势效率,3,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,C,38.0
realized_vol_120__cs_robust_z,已实现波动率,24,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,波动率与风险,历史二次变差估计未来风险状态,因子日T收盘后形成，T+1开盘可用,0.054644273613083286,risk,D,13.0
realized_vol_120__missing,已实现波动率,24,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,D,13.0
