factor_no,factor_id,factor_name,category,protocol_role,usage_type,economic_meaning,formula,expected_direction,data_source,implementation_status,unavailable_reason,binary,available,development_coverage,development_missing_rate,development_unique_values,development_observations,development_instruments,event_feature,raw_available_date,ml_inclusion_rule
1,tsmom_60,时间序列动量,trend_momentum,core,predictor,波动率调整后的中期趋势延续,log_return_60/(vol_60*sqrt(60)),positive,实际主力合约收益,computed,,False,True,0.9605489819547598,0.039451018045240205,67964,68028,30,False,2015-04-07,pre_registered_and_data_quality_pass
2,csmom_60,横截面动量,trend_momentum,core,predictor,同日商品过去收益相对强弱,cross_sectional_rank(log_return_60),positive,实际主力合约收益,computed,,False,True,0.9617068142667533,0.03829318573324669,152,68110,30,False,2015-04-07,pre_registered_and_data_quality_pass
3,trend_efficiency_60,趋势效率,trend_momentum,core,predictor,价格路径的单向和平滑程度,"abs(log_return_60)/sum(abs(daily_log_return),60)",positive,实际主力合约收益,computed,,False,True,0.9605489819547598,0.039451018045240205,67965,68028,30,False,2015-04-07,pre_registered_and_data_quality_pass
4,multi_horizon_trend,多周期趋势一致性,trend_momentum,core,predictor,20/60/120日趋势方向一致程度,"mean(sign(return_20),sign(return_60),sign(return_120))",positive,实际主力合约收益,computed,,False,True,0.9327468865606733,0.06725311343932672,5,66059,30,False,2015-07-02,pre_registered_and_data_quality_pass
5,carry_annualized,Carry因子,term_structure,core,predictor,完整可交易曲线最近两个合约之间的年化期限结构补偿,log(curve_near/curve_middle)*365/maturity_gap,positive,完整实际合约曲线、收盘价、持仓量、成交量与到期日,computed,,False,True,0.9819688797266386,0.0180311202733614,68130,69545,30,False,2015-01-05,pre_registered_and_data_quality_pass
6,carry_change_20,Carry变化,term_structure,core,predictor,期限结构二十日边际变化,carry_t-carry_t-20,positive,主力与次近月收盘价、到期日,computed,,False,True,0.9645166756092739,0.0354833243907261,68253,68309,30,False,2015-02-02,pre_registered_and_data_quality_pass
7,basis_fresh,基差,basis_spot,extension,predictor,新鲜现货相对主力期货的强弱,(fresh_spot-main_close)/main_close,positive,现货价格、观察日、主力收盘价,computed,,False,True,0.8078280760215752,0.19217192397842475,54013,57212,27,False,2015-01-06,pre_registered_and_data_quality_pass
8,basis_shock_20,基差冲击,basis_spot,extension,predictor,基差日变化相对历史条件分布的异常,zscore(delta_basis; prior_20),positive,现货价格、观察日、主力收盘价,computed,,False,True,0.7957273163706193,0.20427268362938067,56355,56355,27,False,2015-01-21,pre_registered_and_data_quality_pass
9,basis_momentum_20,基差动量,basis_spot,extension,predictor,新鲜可用基差的二十日边际变化,basis_t-basis_t-20,positive,延迟一交易日可用的现货与主力收盘价,computed,,False,True,0.7920279009347377,0.20797209906526226,56080,56093,27,False,2015-02-03,pre_registered_and_data_quality_pass
10,curve_curvature,期限结构曲率,term_structure,core,predictor,曲线第二个合约相对第一和第三个合约线性插值的弯曲程度,"2*(log(middle)-interpolate(log(near),log(far)))",mixed,通过流动性和期限硬门的前三个实际合约,computed,,False,True,0.807842195927819,0.19215780407218097,57095,57213,30,False,2015-01-05,pre_registered_and_data_quality_pass
11,value_252,价值因子,value_reversion,extension,predictor,价格相对一年滚动历史锚点的反向偏离,-(log_price-rolling_mean_252)/rolling_std_252,positive,主力收盘价,computed,,False,True,0.9447488068679224,0.0552511931320776,66909,66909,30,False,2015-07-10,pre_registered_and_data_quality_pass
12,short_reversal_5,短期反转,value_reversion,extension,predictor,过去五日过度反应后的修复,-log_return_5,positive,实际主力合约收益,computed,,False,True,0.993547202846573,0.006452797153426948,69915,70365,30,False,2015-01-12,pre_registered_and_data_quality_pass
13,inventory_scarcity,库存稀缺因子,inventory_fundamental,extension,predictor,库存相对历史同期的稀缺程度,-seasonal_z(stock_current),positive,库存、观察日与数据年龄,computed,,False,True,0.2287142413374375,0.7712857586625625,14533,16198,8,False,2016-01-19,pre_registered_and_data_quality_pass
14,inventory_change_5,库存变化因子,inventory_fundamental,extension,predictor,五日库存下降所表示的边际趋紧,-delta_5(stock_current),positive,库存、观察日与数据年龄,computed,,False,True,0.33897658919544776,0.6610234108045523,2937,24007,10,False,2015-01-19,pre_registered_and_data_quality_pass
15,inventory_surprise,库存意外／库存新息,information_news,extension,predictor,库存相对仅用历史信息形成的条件预期的标准化意外,-innovation_z(stock_current; prior_60),positive,库存、观察日与数据年龄,computed,,False,True,0.05347208494535596,0.9465279150546441,3769,3787,8,True,2015-02-09,pre_registered_and_data_quality_pass
16,warehouse_tightness,仓单紧张因子,inventory_fundamental,extension,predictor,注册仓单相对历史同期的紧张程度,-seasonal_z(warehouse_receipt),positive,注册仓单及观察日,computed,,False,True,0.8148315495185112,0.18516845048148878,55161,57708,30,False,2016-01-12,pre_registered_and_data_quality_pass
17,tightness_composite,供需紧张度,inventory_fundamental,extension,predictor,仓单、库存、基差和Carry的等权看多方向组合,"mean(-inventory_z,-warehouse_z,basis_z,carry_z)",positive,库存、仓单、现货、期限结构,computed,,False,True,0.7056140747225439,0.2943859252774561,49973,49973,28,False,2016-01-12,pre_registered_and_data_quality_pass
18,oi_growth_20,持仓量增长,trading_liquidity,core,conditional,未平仓合约数量的二十日增长,log(OI_t)-log(OI_t-20),mixed,主力持仓量,computed,,False,True,0.9869814464431956,0.013018553556804369,69314,69900,30,False,2015-02-02,pre_registered_and_data_quality_pass
19,price_oi_interaction_20,价格—持仓量交互,trading_liquidity,core,predictor,价格方向和新增持仓方向的联合变化,log_return_20*oi_growth_20,mixed,实际主力合约收益、持仓量,computed,,False,True,0.9805427691960126,0.019457230803987424,69267,69444,30,False,2015-02-02,pre_registered_and_data_quality_pass
20,hedging_pressure,套保压力,trading_liquidity,core,predictor,商业交易者净持仓压力,(commercial_long-commercial_short)/OI,mixed,可靠交易者分类持仓,unavailable,data_final_raw没有商业/非商业交易者分类持仓,False,False,0.0,1.0,0,0,0,False,,unavailable_required_data_missing
21,volume_shock_20,成交量冲击,trading_liquidity,core,conditional,成交量相对历史正常水平的异常,zscore(log_volume; prior_20),mixed,主力成交量,computed,,False,True,0.9831549518511197,0.016845048148880326,69628,69629,30,False,2015-01-19,pre_registered_and_data_quality_pass
22,amihud_20,Amihud非流动性,trading_liquidity,core,risk,单位成交额对应的绝对价格变动,"mean(abs(return)/amount,20)",negative,实际主力合约收益、成交额,computed,,False,True,0.9751348451046286,0.024865154895371444,69041,69061,30,False,2015-02-02,pre_registered_and_data_quality_pass
23,turnover_oi,成交量—持仓量换手率,trading_liquidity,core,conditional,相对存量持仓的交易活跃程度,volume/open_interest,mixed,主力成交量、持仓量,computed,,False,True,0.9961311456891926,0.0038688543108074125,69839,70548,30,False,2015-01-05,pre_registered_and_data_quality_pass
24,realized_volatility_20,已实现波动率,volatility_risk,extension,risk,过去二十日收益波动风险,"std(log_return,20)*sqrt(252)",mixed,实际主力合约收益,computed,,False,True,0.9839597865070175,0.016040213492982458,69418,69686,30,False,2015-02-02,pre_registered_and_data_quality_pass
25,low_volatility_20,低波动因子,volatility_risk,extension,risk,横截面低波动品种得分更高,-cross_sectional_rank(realized_volatility_20),positive,实际主力合约收益,computed,,False,True,0.9839597865070175,0.016040213492982458,152,69686,30,False,2015-02-02,pre_registered_and_data_quality_pass
26,realized_skewness_60,已实现偏度,volatility_risk,extension,risk,过去六十日收益分布非对称性,"skew(log_return,60)",mixed,实际主力合约收益,computed,,False,True,0.9617068142667533,0.03829318573324669,67967,68110,30,False,2015-04-07,pre_registered_and_data_quality_pass
27,seasonality_3y,季节性因子,value_reversion,extension,predictor,过去三年近似同期五日收益的平均,mean(trailing_return_5 shifted 252/504/756),mixed,实际主力合约历史收益,computed,,False,True,0.6709214650814719,0.3290785349185281,47505,47516,30,False,2018-02-12,pre_registered_and_data_quality_pass
28,industry_chain_residual,产业链残差,industry_chain,extension,predictor,相对明确上下游和替代品关系的状态偏离,x-E[x|industry_neighbors],mixed,产业链邻接关系与传导系数,unavailable,未提供经确认的产业链邻接表和生产传导系数,False,False,0.0,1.0,0,0,0,False,,unavailable_required_data_missing
29,sector_relative_value_60,相对价值残差,industry_chain,extension,predictor,品种六十日收益相对板块共同收益的偏离,return_60-sector_mean_return_60,negative,实际主力合约收益、固定板块映射,computed,,False,True,0.9617068142667533,0.03829318573324669,67659,68110,30,False,2015-04-07,pre_registered_and_data_quality_pass
30,market_state_conditional,状态条件因子,state_interaction,extension,conditional,市场状态概率调节基础因子,factor*p_market_state,mixed,实时市场状态概率,unavailable,当前协议未定义和冻结市场状态概率引擎,False,False,0.0,1.0,0,0,0,False,,unavailable_required_data_missing
31,product_state_interaction,单品种状态交互因子,state_interaction,extension,conditional,品种自身状态调节基础因子,factor*product_state,mixed,实时单品种状态,unavailable,当前协议未定义和冻结单品种状态引擎,False,False,0.0,1.0,0,0,0,False,,unavailable_required_data_missing
32,factor_momentum,因子动量,meta_factor,extension,conditional,四个冻结基础因子组合最近二十日已实现收益的持续性,rolling_sum_20(mean(lagged_factor_portfolio_return)),mixed,严格滞后一期的动量、Carry、反转和板块相对价值组合收益,computed,,False,True,0.9738499336364407,0.02615006636355932,2361,68970,30,False,2015-04-21,pre_registered_and_data_quality_pass
33,fundamental_composite_news,基本面综合新息代理,information_news,extension,predictor,库存、仓单和基差中至少两类历史模型意外的统一方向组合,"mean(inventory_surprise,warehouse_surprise,basis_surprise)",positive,延迟一交易日可用的库存、仓单和现货；不是市场一致预期,computed,,False,True,0.7881025669989551,0.2118974330010449,55815,55815,28,True,2015-02-03,pre_registered_and_data_quality_pass
34,fundamental_underreaction,基本面反应不足代理,information_news,extension,predictor,模型隐含基本面新息扣除首个可交易日价格反应后的未吸收部分,fundamental_composite_news-cs_z(initial_price_response),positive,基本面综合新息代理与主力收益；不是市场一致预期,computed,,False,True,0.787947248030273,0.21205275196972695,55804,55804,28,True,2015-02-03,pre_registered_and_data_quality_pass
35,information_consistency,信息一致性,information_news,extension,predictor,仓单、库存、基差和Carry方向一致时放大的综合信号,mean(z_k)*abs(mean(sign(z_k))),positive,库存、仓单、基差、Carry,computed,,False,True,0.7056140747225439,0.2943859252774561,46995,49973,28,False,2016-01-12,pre_registered_and_data_quality_pass
36,information_divergence,信息背离,information_news,extension,predictor,供需基本面信号相对价格趋势的未反映差异,tightness_z-tsmom_z,positive,供需紧张度与实际主力合约收益,computed,,False,True,0.704879839597865,0.29512016040213496,49863,49921,28,False,2016-01-12,pre_registered_and_data_quality_pass
37,cost_transmission_gap,成本传导缺口,industry_chain,extension,predictor,上游成本冲击相对下游价格变化的未传导部分,sum(a_ij*upstream_return)-downstream_return,mixed,上下游关系与生产配比,unavailable,未提供经确认的产业链邻接表和实际生产配比,False,False,0.0,1.0,0,0,0,False,,unavailable_required_data_missing
38,processing_margin_anomaly,加工利润异常,industry_chain,extension,predictor,加工利润相对历史季节正常水平的异常,seasonal_z(output-sum(a*input)-other_cost),mixed,产出投入价格、生产配比和其他成本,unavailable,缺少经确认的生产配比和其他成本序列,False,False,0.0,1.0,0,0,0,False,,unavailable_required_data_missing
39,warehouse_surprise,仓单新息,information_news,extension,predictor,注册仓单相对历史条件预期的标准化意外,-innovation_z(warehouse_receipt; prior_60),positive,注册仓单及观察日,computed,,False,True,0.9441698907119257,0.0558301092880743,63217,66868,30,True,2015-02-03,pre_registered_and_data_quality_pass
40,transmission_residual,产业链传导残差,industry_chain,extension,predictor,剥离上游滞后冲击和板块共同收益后的残差,r_i-sum(beta*lagged_upstream_return)-beta_sector*r_sector,mixed,产业链邻接、滞后与板块收益,unavailable,未提供经确认的产业链邻接和传导滞后,False,False,0.0,1.0,0,0,0,False,,unavailable_required_data_missing
41,momentum_quality_60,动量质量因子,trend_momentum,core,predictor,以趋势效率过滤中期动量路径噪声,tsmom_60*trend_efficiency_60,positive,实际主力合约收益,computed,,False,True,0.9605489819547598,0.039451018045240205,67965,68028,30,False,2015-04-07,pre_registered_and_data_quality_pass
42,vol_managed_momentum,波动率管理动量,trend_momentum,core,predictor,按短期风险缩放中期趋势方向,sign(return_60)/volatility_20,positive,实际主力合约收益,computed,,False,True,0.9600265454237383,0.03997345457626167,67955,67991,30,False,2015-04-07,pre_registered_and_data_quality_pass
43,idiosyncratic_volatility_60,特质波动因子,volatility_risk,extension,risk,剔除商品市场及板块共同收益后的剩余波动,"std(residual(r_i~r_market+r_sector),60)",mixed,实际主力合约收益、固定板块映射,computed,,False,True,0.9710683121064076,0.02893168789359235,68483,68773,30,False,2015-04-03,pre_registered_and_data_quality_pass
44,term_structure_slope,期限结构斜率,term_structure,core,predictor,用完整可交易曲线加权拟合的年化斜率,-weighted_OLS_slope(log_future_price~maturity),positive,至少三个通过流动性和期限硬门的实际合约,computed,,False,True,0.807842195927819,0.19215780407218097,57210,57213,30,False,2015-01-05,pre_registered_and_data_quality_pass
45,term_structure_momentum,期限结构动量,term_structure,core,predictor,整条期限结构斜率的二十日变化,slope_t-slope_t-20,positive,完整曲线斜率历史,computed,,False,True,0.7337126881477507,0.2662873118522493,51963,51963,30,False,2015-02-02,pre_registered_and_data_quality_pass
46,term_structure_acceleration,期限结构加速度,term_structure,core,predictor,整条期限结构二十日变化的再二十日变化,delta20_slope_t-delta20_slope_t-20,mixed,完整曲线斜率历史,computed,,False,True,0.6765270678602694,0.3234729321397306,47913,47913,30,False,2015-03-09,pre_registered_and_data_quality_pass
47,basis_surprise,基差意外,basis_spot,extension,predictor,基差相对历史条件预期的标准化意外,innovation_z(basis; prior_60),positive,新鲜现货价格、观察日、主力收盘价,computed,,False,True,0.7956990765581317,0.20430092344186834,56353,56353,27,True,2015-02-03,pre_registered_and_data_quality_pass
48,inventory_acceleration,库存加速度,inventory_fundamental,extension,predictor,去库存速度的二阶变化,-(delta_5_inventory_t-delta_5_inventory_t-5),positive,库存、观察日与数据年龄,computed,,False,True,0.3378328767896981,0.6621671232103019,3422,23926,10,False,2015-01-26,pre_registered_and_data_quality_pass
49,inventory_price_divergence,库存—价格背离,information_news,extension,predictor,库存趋紧相对同期价格变化的未反映部分,z(-delta_inventory)-z(return_20),positive,库存与实际主力合约收益,computed,,False,True,0.3349524159159583,0.6650475840840417,23507,23722,10,False,2015-02-02,pre_registered_and_data_quality_pass
50,supply_demand_shock,供需冲击因子,information_news,extension,predictor,需求正向新息减去供给正向新息,sum(demand_surprise)-sum(supply_surprise),positive,产量、需求、进口等实际与预期数据,unavailable,data_final_raw没有供给与需求多源实际值及预期字段,False,False,0.0,1.0,0,0,0,False,,unavailable_required_data_missing
51,crowding,拥挤度因子,trading_liquidity,core,risk,主要参与者持仓份额集中度,HHI(member_position_share),negative,会员或参与者分项持仓,unavailable,data_final_raw没有会员或参与者分项持仓,False,False,0.0,1.0,0,0,0,False,,unavailable_required_data_missing
52,oi_surprise_60,持仓意外因子,trading_liquidity,core,conditional,持仓变化相对历史条件预期的异常,zscore(delta_log_OI; prior_60),mixed,主力持仓量,computed,,False,True,0.9855835757250572,0.01441642427494283,69533,69801,30,False,2015-02-03,pre_registered_and_data_quality_pass
53,volume_price_divergence_20,量价背离因子,trading_liquidity,core,predictor,价格趋势与成交量变化不一致程度,z(return_20)-z(delta_log_volume_20),mixed,实际主力合约收益、成交量,computed,,False,True,0.9763915167603288,0.02360848323967124,69069,69150,30,False,2015-02-02,pre_registered_and_data_quality_pass
54,momentum_carry_interaction,因子交互因子,factor_interaction,extension,predictor,动量和Carry同时确认的非加性信息,z(tsmom_60)*z(carry),positive,动量与期限结构,computed,,False,True,0.9498884527406738,0.050111547259326206,65767,67273,30,False,2015-04-07,pre_registered_and_data_quality_pass
55,nonlinear_tightness,非线性基本面因子,factor_interaction,extension,predictor,极端供需紧张状态的平方增强,sign(tightness_z)*abs(tightness_z)^2,positive,供需紧张度,computed,,False,True,0.7056140747225439,0.2943859252774561,47926,49973,28,False,2016-01-12,pre_registered_and_data_quality_pass
56,commodity_network_factor,商品网络因子,industry_chain,extension,predictor,按产业链和替代关系聚合邻居冲击,sum(w_ij*z(signal_j)),mixed,经确认的商品网络邻接与权重,unavailable,未提供经确认的商品网络邻接表与权重,False,False,0.0,1.0,0,0,0,False,,unavailable_required_data_missing
57,correlation_risk_20_120,相关性风险因子,volatility_risk,extension,risk,品种与商品市场短期相关性相对长期基准的上升,"corr_20(r_i,r_market)-corr_120(r_i,r_market)",negative,实际主力合约收益、商品市场收益,computed,,False,True,0.9319138120922877,0.06808618790771226,66000,66000,30,False,2015-07-02,pre_registered_and_data_quality_pass
