factor_id,factor_name,factor_name_en,category,data_source,implementation_status,economic_meaning,classification,classification_reason,representative_feature,computable,enter_ml
1,时间序列动量,Time-Series Momentum,趋势与动量,合约收益,implemented,价格冲击与机构调仓可能形成中期延续,B,相对固定基准模型提供样本外增量信息,tsmom_120,True,True
2,横截面动量,Cross-Sectional Momentum,趋势与动量,合约收益,implemented,过去相对强势品种可能继续跑赢弱势品种,B,具有较弱但方向一致的样本外预测证据,csmom_120,True,False
3,趋势效率,Trend Efficiency,趋势与动量,合约收益,implemented,区分平滑趋势与高噪声路径,C,经济角色主要是条件变量而非独立方向信号,trend_efficiency_120,True,True
4,多周期趋势一致性,Multi-Horizon Trend Consistency,趋势与动量,合约收益,implemented,多个周期同向可降低单一参数偶然性,E,开发期未发现足够稳定的方向或增量证据,multi_horizon_trend,True,False
5,Carry,Carry,期限结构与Carry,全合约曲线,implemented,期限结构反映便利收益、库存压力与持有补偿,A,FDR后显著、方向一致且分组收益同向,carry,True,True
6,Carry变化,Carry Change,期限结构与Carry,全合约曲线,implemented,期限结构边际收紧可能先于价格调整,B,相对固定基准模型提供样本外增量信息,carry_change_60,True,True
7,基差,Basis,基差与现货,现货与期货,missing_data,现货相对期货强弱反映近端供需,F,现有所谓现货文件实为会员成本，不是可比现货价,,False,False
8,基差冲击,Basis Shock,基差与现货,现货与期货,missing_data,异常基差变化可能代表供需新息,F,缺少可比且按真实发布时间对齐的现货价格,,False,False
9,基差动量,Basis Momentum,期限结构与Carry,近远月合约,implemented,近月相对远月走强刻画曲线动态收紧,B,相对固定基准模型提供样本外增量信息,basis_momentum_5,True,True
10,期限结构曲率,Curve Curvature,期限结构与Carry,至少三个流动合约,implemented,曲线中部异常可能反映局部供需与换月压力,B,存在预测或增量信息，但经济方向未预先固定，暂列辅助,curve_curvature,True,True
11,价值因子,Value,价值与均值回复,合约收益,implemented,价格对历史锚点的偏离可能修复,E,开发期未发现足够稳定的方向或增量证据,value_252,True,False
