factor_no,factor_id,factor_name,category,protocol_role,usage_type,economic_meaning,formula,expected_direction,data_source,implementation_status,unavailable_reason,binary,available,development_coverage,development_missing_rate,development_unique_values,development_observations,development_instruments,event_feature,raw_available_date,ml_inclusion_rule,factor_name_metric,category_metric,protocol_role_metric,usage_type_metric,economic_meaning_metric,expected_direction_metric,orientation,coverage,ic_observations,ic_mean,rank_ic,ic_std,ic_ir,rank_ic_std,rank_ic_ir,rank_ic_hit_rate,p_ic_gt_002,p_ic_lt_neg002,rank_ic_t_stat,rank_ic_p_value,factor_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,turnover,t_stat,p_value,annual_return_0bps,sharpe_0bps,annual_return_3bps,sharpe_3bps,annual_return_5bps,sharpe_5bps,annual_return_10bps,sharpe_10bps,monotonicity,group_return_spread,rank_ic_fdr_q,portfolio_fdr_q,screening_class,enters_ml,ml_inclusion_note,positive_year_rate,yearly_rank_ic_std,delayed_1d_rank_ic,feature_name,correlation_cluster,cluster_representative,max_abs_feature_correlation,evaluated_products,positive_product_rate,median_product_rank_ic,evaluated_sectors,positive_sector_rate,median_sector_rank_ic
1,tsmom_60,时间序列动量,trend_momentum,core,predictor,波动率调整后的中期趋势延续,log_return_60/(vol_60*sqrt(60)),positive,实际主力合约收益,computed,,False,True,0.9605489819547598,0.0394510180452402,67964,68028,30,False,2015-04-07,pre_registered_and_data_quality_pass,时间序列动量,trend_momentum,core,predictor,波动率调整后的中期趋势延续,positive,1.0,0.998612203358468,1450,-0.0046557624894404,-0.00686256752374,0.2789457833028813,-0.0166905641458834,0.2678300555266534,-0.0256228432251401,0.4917241379310345,0.4668965517241379,0.476551724137931,-0.5473381079933389,0.5842307561665976,-0.1806002799023633,-0.0340243731788857,0.1006944291196769,-0.2930530979661421,-0.2516550887181287,-0.1352024048160433,0.5441379310344828,-0.7139807880981087,0.4758152876929592,-0.0206755057884583,-0.1569281350370645,-0.0287062905967411,-0.2386157736064861,-0.0340243731788857,-0.2930530979661421,-0.047195458221637,-0.4290606226896848,0.0,-0.0005435394612906,0.7151716225977933,0.9483661619600654,E 暂不使用因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.3333333333333333,0.0260652240227493,-0.0057974778174163,tsmom_60__csz,1.0,tsmom_60__csz,0.8984494128756622,30,0.3666666666666666,-0.0357464693303836,4,0.75,0.0066294093865994
2,csmom_60,横截面动量,trend_momentum,core,predictor,同日商品过去收益相对强弱,cross_sectional_rank(log_return_60),positive,实际主力合约收益,computed,,False,True,0.9617068142667532,0.0382931857332466,152,68110,30,False,2015-04-07,pre_registered_and_data_quality_pass,横截面动量,trend_momentum,core,predictor,同日商品过去收益相对强弱,positive,1.0,0.998612203358468,1450,-0.0050753488581843,-0.0087352542318481,0.3008425871878487,-0.0168704467862299,0.2888795479010478,-0.0302383962288679,0.4972413793103448,0.4848275862068965,0.4662068965517241,-0.6410863483436952,0.5215679635820872,-0.1681807328404776,-0.0314956236819606,0.1125474683505884,-0.2278361597760864,-0.233585507775296,-0.1348355211842112,0.5040229885057471,-0.5735800230807657,0.5666981093888409,-0.0191091877611117,-0.1149729022328836,-0.0265594750123827,-0.1826897706353066,-0.0314956236819606,-0.2278361597760864,-0.0437293751983961,-0.3406997807394443,-0.7,-0.0003299401430858,0.6854893235650289,0.9483661619600654,E 暂不使用因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.3333333333333333,0.0255783060149841,-0.0068300799094952,csmom_60__csz,3.0,csmom_60__csz,0.8757615755851609,30,0.3333333333333333,-0.0215468172329469,4,0.75,0.0194535005148904
3,trend_efficiency_60,趋势效率,trend_momentum,core,predictor,价格路径的单向和平滑程度,"abs(log_return_60)/sum(abs(daily_log_return),60)",positive,实际主力合约收益,computed,,False,True,0.9605489819547598,0.0394510180452402,67965,68028,30,False,2015-04-07,pre_registered_and_data_quality_pass,趋势效率,trend_momentum,core,predictor,价格路径的单向和平滑程度,positive,1.0,0.998612203358468,1450,0.008809209619089,0.0049899555469375,0.2570911951931016,0.0342649214901056,0.2439248345930453,0.0204569393488063,0.5089655172413793,0.4848275862068965,0.4517241379310345,0.4496559024223421,0.6530258263225821,-0.0269487574747007,-0.0047365198989707,0.0879746819627765,-0.0101218938489814,-0.2208956593128085,-0.021442340305399,0.9050574712643678,-0.0248501435169327,0.9801916443416228,0.018222673400797,0.2491418830200922,0.0043857632958792,0.0935819854224598,-0.0047365198989707,-0.0101218938489814,-0.027189259121745,-0.2693147155460153,0.3,0.0004965900681289,0.7509797002709695,0.98475095540502,E 暂不使用因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.6666666666666666,0.0235841561037649,0.0043063034512961,trend_efficiency_60__csz,4.0,trend_efficiency_60__csz,0.1757121621894544,30,0.6,0.0060178523428475,4,0.75,0.0061206396662466
4,multi_horizon_trend,多周期趋势一致性,trend_momentum,core,predictor,20/60/120日趋势方向一致程度,"mean(sign(return_20),sign(return_60),sign(return_120))",positive,实际主力合约收益,computed,,False,True,0.9327468865606732,0.0672531134393267,5,66059,30,False,2015-07-02,pre_registered_and_data_quality_pass,多周期趋势一致性,trend_momentum,core,predictor,20/60/120日趋势方向一致程度,positive,1.0,0.9972244067169358,1450,-0.0055050953165374,-0.0098975117455873,0.2536452814205324,-0.0217039137716513,0.2543416634285403,-0.0389142369054614,0.4951724137931034,0.4641379310344827,0.4820689655172414,-0.839021683396291,0.4015955353744463,-0.1214151404037066,-0.0222451084121761,0.0822565999026205,-0.2323569454924902,-0.2278348517650094,-0.0976369867904141,0.715632183908046,-0.5921667067970104,0.5542019523641174,-0.0044518787705997,-0.0131066386958704,-0.0151654106669514,-0.1446179231975918,-0.0222451084121761,-0.2323569454924902,-0.0397275533668852,-0.4518828522605775,-0.3,-8.449495386471297e-05,0.6420691664945198,0.9483661619600654,E 暂不使用因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.3333333333333333,0.0272707120870397,-0.0069848885049501,multi_horizon_trend__csz,5.0,multi_horizon_trend__csz,0.6187356705832221,30,0.4333333333333333,-0.0069571009529205,4,0.75,0.0063512793591996
5,carry_annualized,Carry因子,term_structure,core,predictor,完整可交易曲线最近两个合约之间的年化期限结构补偿,log(curve_near/curve_middle)*365/maturity_gap,positive,完整实际合约曲线、收盘价、持仓量、成交量与到期日,computed,,False,True,0.9819688797266386,0.0180311202733614,68130,69545,30,False,2015-01-05,pre_registered_and_data_quality_pass,Carry因子,term_structure,core,predictor,完整可交易曲线最近两个合约之间的年化期限结构补偿,positive,1.0,0.9992598417911828,1450,0.0301354946500028,0.0292775022149803,0.2936528903059156,0.1026228436526161,0.2619214876862873,0.1117796881561968,0.546896551724138,0.5110344827586207,0.4393103448275862,2.3106896102460124,0.0209898448456829,0.1984158886635196,0.0319566440489245,0.098387533731368,0.3689284759563689,-0.2741452345911238,0.1165683003630776,0.4691954022988505,0.8153938109295875,0.4155184066149164,0.0442227764037923,0.4891041329390811,0.0368461257358305,0.4170016133490413,0.0319566440489245,0.3689284759563689,0.0198311990367436,0.2487386561962992,1.0,0.0018336033427099,0.1931065725802831,0.9483661619600654,B 辅助预测因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.8333333333333334,0.0418407626209421,0.0283093680293634,carry_annualized__csz,7.0,carry_annualized__csz,0.6994149572231179,30,0.6333333333333333,0.0177754553822431,4,0.75,0.0183557614450554
6,carry_change_20,Carry变化,term_structure,core,predictor,期限结构二十日边际变化,carry_t-carry_t-20,positive,主力与次近月收盘价、到期日,computed,,False,True,0.964516675609274,0.0354833243907261,68253,68309,30,False,2015-02-02,pre_registered_and_data_quality_pass,Carry变化,term_structure,core,predictor,期限结构二十日边际变化,positive,1.0,0.9976407457093954,1450,-0.0265639551802019,-0.0090029809251078,0.2471723952375986,-0.1074713669164669,0.2165331437623113,-0.0415778423971455,0.48,0.4289655172413793,0.5062068965517241,-0.9334644989361194,0.3507357104667279,-0.3388530264301002,-0.0693871731801377,0.0875663527691302,-0.7768604319731244,-0.382739755078779,-0.1812907393585384,0.8832183908045976,-1.9777152217012064,0.0489106462638299,-0.0484044445740703,-0.5234524337905296,-0.061048942578885,-0.6755979669048929,-0.0693871731801377,-0.7768604319731244,-0.0899172406803856,-1.0293802079235042,-0.3,-0.0017934699083911,0.6420691664945198,0.9483661619600654,E 暂不使用因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.3333333333333333,0.0212443448728985,-0.00931566865048,carry_change_20__csz,9.0,carry_change_20__csz,0.4466063735003526,30,0.5,-0.0024065115465684,4,0.25,-0.0043344524426017
7,basis_fresh,基差,basis_spot,extension,predictor,新鲜现货相对主力期货的强弱,(fresh_spot-main_close)/main_close,positive,现货价格、观察日、主力收盘价,computed,,False,True,0.8078280760215752,0.1921719239784247,54013,57212,27,False,2015-01-06,pre_registered_and_data_quality_pass,基差,basis_spot,extension,predictor,新鲜现货相对主力期货的强弱,positive,1.0,0.7485081186103529,1208,0.0332966230735999,0.0308908733618437,0.273139332759503,0.1219034356465875,0.2399197958766868,0.1287550001823148,0.5513245033112583,0.5182119205298014,0.418046357615894,2.499451681336237,0.0125705408325392,0.3623471892340644,0.0665160033601737,0.092739001580342,0.7411426256898672,-0.1312385758723951,0.506832712241925,0.6173553719008265,1.7248717760663053,0.0858326302167372,0.0832218524749976,0.909498616772838,0.073167933608349,0.8084683191865867,0.0665160033601737,0.7411426256898672,0.0500618233848257,0.5729501061972297,0.7,0.0030468909656292,0.1926062803176736,0.9483661619600654,B 辅助预测因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.6666666666666666,0.0814820673303585,0.0303674441103759,basis_fresh__csz,11.0,basis_fresh__csz,0.5521188690156008,27,0.7777777777777778,0.0532397531174127,3,1.0,0.0228059188677539
8,basis_shock_20,基差冲击,basis_spot,extension,predictor,基差日变化相对历史条件分布的异常,zscore(delta_basis; prior_20),positive,现货价格、观察日、主力收盘价,computed,,False,True,0.7957273163706193,0.2042726836293806,56355,56355,27,False,2015-01-21,pre_registered_and_data_quality_pass,基差冲击,basis_spot,extension,predictor,基差日变化相对历史条件分布的异常,positive,1.0,0.7420548642272285,1198,0.0031034790423711,0.0011683518252807,0.2412899740579481,0.0128620306520727,0.2438333175092153,0.0047916004146421,0.501669449081803,0.4699499165275459,0.4590984974958264,0.1886906536771765,0.8503672627166182,-0.1280784425197628,-0.0284884748685516,0.0810963386455014,-0.3162592197713221,-0.2132355569028058,-0.1336009588754322,1.6033472803347282,-0.7218681340979809,0.4710841658032626,0.0115820664024877,0.1820702902667605,-0.0126503903356861,-0.1169969388524332,-0.0284884748685516,-0.3162592197713221,-0.067002855611326,-0.8139159426272511,0.3,0.0003143730771698,0.889020320112828,0.9483661619600654,E 暂不使用因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.5,0.0420794505904459,-0.0003194806170203,basis_shock_20__csz,13.0,basis_shock_20__csz,0.4937067263183487,27,0.6666666666666666,0.0112364446759405,3,0.6666666666666666,0.0068242512691947
9,basis_momentum_20,基差动量,basis_spot,extension,predictor,新鲜可用基差的二十日边际变化,basis_t-basis_t-20,positive,延迟一交易日可用的现货与主力收盘价,computed,,False,True,0.7920279009347377,0.2079720990652622,56080,56093,27,False,2015-02-03,pre_registered_and_data_quality_pass,基差动量,basis_spot,extension,predictor,新鲜可用基差的二十日边际变化,positive,1.0,0.7417541749548966,1198,-0.0112846931483625,-0.0051760509632833,0.3025055351666128,-0.0373040881455183,0.2583641460530427,-0.0200339367607945,0.4883138564273789,0.4632721202003338,0.4858096828046744,-0.4045087835900217,0.6859108879010101,-0.0878173506320505,-0.0191170636364853,0.0932921746959438,-0.1602558991434674,-0.1965029163368807,-0.0972864117889804,0.9816666666666668,-0.309011780301406,0.7575817713608995,0.0054516167682543,0.104855119712252,-0.0093609005916576,-0.0541783415999636,-0.0191170636364853,-0.1602558991434674,-0.0430980116414873,-0.4255991560582495,-0.0999999999999999,-0.0001720476632538,0.7695585571572309,0.9483661619600654,E 暂不使用因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.5,0.1213545615130485,-0.0023381354070621,basis_momentum_20__csz,14.0,basis_momentum_20__csz,0.6349277164701939,27,0.4814814814814814,-0.0002588709709427,3,0.6666666666666666,0.0077158622502977
10,curve_curvature,期限结构曲率,term_structure,core,predictor,曲线第二个合约相对第一和第三个合约线性插值的弯曲程度,"2*(log(middle)-interpolate(log(near),log(far)))",mixed,通过流动性和期限硬门的前三个实际合约,computed,,False,True,0.807842195927819,0.1921578040721809,57095,57213,30,False,2015-01-05,pre_registered_and_data_quality_pass,期限结构曲率,term_structure,core,predictor,曲线第二个合约相对第一和第三个合约线性插值的弯曲程度,mixed,1.0,0.9268399870472314,1450,-0.0005017680317378,-0.0075981515995501,0.2392677989391409,-0.0020970980381086,0.2158950877235363,-0.0351937215416404,0.4862068965517241,0.4620689655172413,0.48,-0.7908643241804012,0.4291525916512976,-0.2661037601094844,-0.0523494237752762,0.0767599048146932,-0.6618690206516724,-0.3296719092027838,-0.1587924913040612,0.7973563218390806,-1.717100153267037,0.0870322172598219,-0.0330990120333959,-0.3999737632122465,-0.0446945995810349,-0.557107383427492,-0.0523494237752762,-0.6618690206516724,-0.0712253556751095,-0.9237044055971688,-0.3999999999999999,-0.0015717646825912,0.6420691664945198,0.9483661619600654,E 暂不使用因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.3333333333333333,0.0397108979586249,-0.0094967648371314,curve_curvature__csz,15.0,curve_curvature__csz,0.5262275607364006,30,0.3666666666666666,-0.0259300117087939,4,0.5,0.0009469234057155
