factor_no,factor_id,factor_name,category,protocol_role,usage_type,economic_meaning,formula,expected_direction,data_source,implementation_status,unavailable_reason,binary,available,development_coverage,development_missing_rate,development_unique_values,development_observations,development_instruments,event_feature,raw_available_date,ml_inclusion_rule,factor_name_metric,category_metric,protocol_role_metric,usage_type_metric,economic_meaning_metric,expected_direction_metric,orientation,coverage,ic_observations,ic_mean,rank_ic,ic_std,ic_ir,rank_ic_hit_rate,p_ic_gt_002,p_ic_lt_neg002,rank_ic_t_stat,rank_ic_p_value,factor_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,turnover,t_stat,p_value,annual_return_0bps,sharpe_0bps,annual_return_3bps,sharpe_3bps,annual_return_5bps,sharpe_5bps,annual_return_10bps,sharpe_10bps,monotonicity,group_return_spread,rank_ic_fdr_q,portfolio_fdr_q,screening_class,enters_ml,ml_inclusion_note,positive_year_rate,yearly_rank_ic_std,delayed_1d_rank_ic,feature_name,correlation_cluster,cluster_representative,max_abs_feature_correlation,evaluated_products,positive_product_rate,median_product_rank_ic,evaluated_sectors,positive_sector_rate,median_sector_rank_ic
1,tsmom_60,时间序列动量,trend_momentum,core,predictor,波动率调整后的中期趋势延续,log_return_60/(vol_60*sqrt(60)),positive,实际主力合约收益,computed,,False,True,0.9605489819547598,0.039451018045240205,67964,68028,30,False,2015-04-07,pre_registered_and_data_quality_pass,时间序列动量,trend_momentum,core,predictor,波动率调整后的中期趋势延续,positive,1.0,0.9986192295300778,1456,-0.0039132653006652,-0.0063572619574032985,0.27869527282199086,-0.014041376665777512,0.49313186813186816,0.4690934065934066,0.47458791208791207,-0.508916309441378,0.6108880490377413,-0.1781188134993288,-0.03329090004694024,0.10035842994674175,-0.2868127602214259,-0.2516550887181287,-0.13228780795379974,0.5449771689497717,-0.7010248581276304,0.48384768182707794,-0.0199114785885256,-0.15001757756768458,-0.027960677925843336,-0.23210708395026802,-0.03329090004694024,-0.2868127602214259,-0.046491860928786766,-0.4234925741494253,0.0,-0.0005145114524364438,0.7377402398014862,0.9819821207204991,E 暂不使用因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.3333333333333333,0.026097562600141663,-0.005343921865329754,tsmom_60__csz,1.0,tsmom_60__csz,0.8984494128756622,30,0.36666666666666664,-0.035758714037684804,4,0.75,0.005899568677187038
2,csmom_60,横截面动量,trend_momentum,core,predictor,同日商品过去收益相对强弱,cross_sectional_rank(log_return_60),positive,实际主力合约收益,computed,,False,True,0.9617068142667533,0.03829318573324669,152,68110,30,False,2015-04-07,pre_registered_and_data_quality_pass,横截面动量,trend_momentum,core,predictor,同日商品过去收益相对强弱,positive,1.0,0.9986192295300778,1456,-0.004270487408388322,-0.008009846604534358,0.3006080478751404,-0.014206164600630048,0.4993131868131868,0.48695054945054944,0.4642857142857143,-0.5897101254310863,0.5554765649927509,-0.16471748377126538,-0.030588362180576367,0.11217403090679368,-0.2206255560344429,-0.23358550777529608,-0.1309514553017633,0.5034246575342466,-0.5572281411514998,0.5777999051857059,-0.01820534800015494,-0.10752178311150695,-0.025653555156248453,-0.17538294438788563,-0.030588362180576367,-0.2206255560344429,-0.04281891510086466,-0.3337297965220525,-0.49999999999999994,-0.0002963227359113964,0.7300549139904725,0.9819821207204991,E 暂不使用因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.3333333333333333,0.025606888148807922,-0.006238631258239474,csmom_60__csz,3.0,csmom_60__csz,0.8757615755851609,30,0.3333333333333333,-0.02048108626185694,4,0.75,0.018182435651043754
3,trend_efficiency_60,趋势效率,trend_momentum,core,predictor,价格路径的单向和平滑程度,"abs(log_return_60)/sum(abs(daily_log_return),60)",positive,实际主力合约收益,computed,,False,True,0.9605489819547598,0.039451018045240205,67965,68028,30,False,2015-04-07,pre_registered_and_data_quality_pass,趋势效率,trend_momentum,core,predictor,价格路径的单向和平滑程度,positive,1.0,0.9986192295300778,1456,0.009209263950323439,0.0054115810555764405,0.2571903865095078,0.03580718577901818,0.5096153846153846,0.4855769230769231,0.45123626373626374,0.48820893402478366,0.62547542070126,-0.024856511569405382,-0.0043350995669333425,0.0879689089528173,-0.005544055673997218,-0.22089565931280852,-0.01962510073950545,0.9062785388127854,-0.01369185041390513,0.98908520741993,0.01866499675114719,0.25410276926399694,0.004803351389908839,0.09830921056590429,-0.0043350995669333425,-0.005544055673997218,-0.026827153093379796,-0.26508793179279916,0.39999999999999997,0.0005163496017093021,0.7377402398014862,0.9890852074199301,E 暂不使用因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.6666666666666666,0.02373709081042517,0.004768345505800178,trend_efficiency_60__csz,4.0,trend_efficiency_60__csz,0.17571216218945443,30,0.6,0.007523746588535039,4,0.75,0.005933902940173583
4,multi_horizon_trend,多周期趋势一致性,trend_momentum,core,predictor,20/60/120日趋势方向一致程度,"mean(sign(return_20),sign(return_60),sign(return_120))",positive,实际主力合约收益,computed,,False,True,0.9327468865606733,0.06725311343932672,5,66059,30,False,2015-07-02,pre_registered_and_data_quality_pass,多周期趋势一致性,trend_momentum,core,predictor,20/60/120日趋势方向一致程度,positive,1.0,0.9972384590601555,1456,-0.004630988099875482,-0.009074816878535641,0.2536115789731036,-0.018260160354770766,0.49725274725274726,0.46565934065934067,0.4800824175824176,-0.7710052427679075,0.4408290058137352,-0.12457178170792171,-0.022701781395717435,0.08213548480970619,-0.23850510857129104,-0.2278348517650094,-0.09964139033097634,0.7141552511415525,-0.6106903386451416,0.5418812746142689,-0.0049535064232372195,-0.01938030680685114,-0.015639893599953658,-0.1508181216985036,-0.022701781395717435,-0.23850510857129104,-0.04014068779915836,-0.4578901210801091,-0.3,-0.00010460865279183183,0.6541333634655425,0.9819821207204991,E 暂不使用因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.3333333333333333,0.02809097671600295,-0.006215875593174125,multi_horizon_trend__csz,5.0,multi_horizon_trend__csz,0.6187356705832221,30,0.4666666666666667,-0.003401661389238474,4,0.75,0.005805176994220214
5,carry_annualized,Carry因子,term_structure,core,predictor,完整可交易曲线最近两个合约之间的年化期限结构补偿,log(curve_near/curve_middle)*365/maturity_gap,positive,完整实际合约曲线、收盘价、持仓量、成交量与到期日,computed,,False,True,0.9819688797266386,0.0180311202733614,68130,69545,30,False,2015-01-05,pre_registered_and_data_quality_pass,Carry因子,term_structure,core,predictor,完整可交易曲线最近两个合约之间的年化期限结构补偿,positive,1.0,0.9992635890827082,1456,0.030439382505273352,0.02968780975130743,0.2932014271757846,0.10381730675213892,0.5473901098901099,0.510989010989011,0.4381868131868132,2.3516569918025354,0.018822720528117724,0.20851567620814704,0.03322991149589516,0.09809106428019598,0.3823279222665927,-0.27414523459112383,0.12121280001622566,0.4688356164383561,0.8478812260149786,0.3972009658003136,0.04550137926740416,0.5027734169072618,0.03812153316451794,0.43050914637879667,0.03322991149589516,0.3823279222665927,0.02109908342250666,0.26186702929648903,0.9999999999999999,0.0018815810791505039,0.17316902885868307,0.9819821207204991,B 辅助预测因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.8333333333333334,0.042133198753779015,0.02863481048159288,carry_annualized__csz,7.0,carry_annualized__csz,0.6994149572231179,30,0.6333333333333333,0.020891942501695383,4,0.75,0.018698748561026234
6,carry_change_20,Carry变化,term_structure,core,predictor,期限结构二十日边际变化,carry_t-carry_t-20,positive,主力与次近月收盘价、到期日,computed,,False,True,0.9645166756092739,0.0354833243907261,68253,68309,30,False,2015-02-02,pre_registered_and_data_quality_pass,Carry变化,term_structure,core,predictor,期限结构二十日边际变化,positive,1.0,0.9976526902011322,1456,-0.02613974610564311,-0.008796278362500104,0.24687335128603735,-0.10588322299459756,0.4800824175824176,0.42994505494505497,0.5054945054945055,-0.9154438009518966,0.3601103823782784,-0.3297983404870012,-0.06674012718898337,0.08742988268762689,-0.7457656768191919,-0.382739755078779,-0.1743746927340911,0.8828767123287672,-1.896705202634881,0.05885699587348733,-0.04570726039747253,-0.4920075139763251,-0.058381948221642554,-0.6443619874938696,-0.06674012718898337,-0.7457656768191919,-0.08731944883197973,-0.9986452136785012,-0.3,-0.0016818792252773778,0.6541333634655425,0.9497988885483094,E 暂不使用因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.3333333333333333,0.020726242919652197,-0.009163495967811883,carry_change_20__csz,9.0,carry_change_20__csz,0.44660637350035265,30,0.4666666666666667,-0.003409281986816553,4,0.25,-0.004566283760525816
7,basis_fresh,基差,basis_spot,extension,predictor,新鲜现货相对主力期货的强弱,(fresh_spot-main_close)/main_close,positive,现货价格、观察日、主力收盘价,computed,,False,True,0.8078280760215752,0.19217192397842475,54013,57212,27,False,2015-01-06,pre_registered_and_data_quality_pass,基差,basis_spot,extension,predictor,新鲜现货相对主力期货的强弱,positive,1.0,0.7452938739816818,1208,0.03329662307359992,0.03089087336184375,0.273139332759503,0.12190343564658751,0.5513245033112583,0.5182119205298014,0.41804635761589404,2.499451681336237,0.012570540832539213,0.3623471892340644,0.06651600336017371,0.09273900158034203,0.7411426256898672,-0.13123857587239518,0.506832712241925,0.6173553719008265,1.7248717760663053,0.08583263021673723,0.08322185247499769,0.909498616772838,0.07316793360834906,0.8084683191865867,0.06651600336017371,0.7411426256898672,0.05006182338482579,0.5729501061972297,0.7,0.003046890965629246,0.17316902885868307,0.9497988885483094,B 辅助预测因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.6666666666666666,0.08148206733035854,0.030367444110375917,basis_fresh__csz,11.0,basis_fresh__csz,0.5521188690156008,27,0.7777777777777778,0.05323975311741271,3,1.0,0.022805918867753933
8,basis_shock_20,基差冲击,basis_spot,extension,predictor,基差日变化相对历史条件分布的异常,zscore(delta_basis; prior_20),positive,现货价格、观察日、主力收盘价,computed,,False,True,0.7957273163706193,0.20427268362938067,56355,56355,27,False,2015-01-21,pre_registered_and_data_quality_pass,基差冲击,basis_spot,extension,predictor,基差日变化相对历史条件分布的异常,positive,1.0,0.7388732912965434,1198,0.003103479042371166,0.0011683518252807378,0.24128997405794816,0.012862030652072743,0.501669449081803,0.4699499165275459,0.4590984974958264,0.1886906536771765,0.8503672627166182,-0.12807844251976286,-0.02848847486855166,0.08109633864550143,-0.31625921977132215,-0.21323555690280582,-0.13360095887543227,1.6033472803347282,-0.7218681340979809,0.4710841658032626,0.011582066402487712,0.1820702902667605,-0.012650390335686157,-0.11699693885243327,-0.02848847486855166,-0.31625921977132215,-0.06700285561132602,-0.8139159426272511,0.3,0.0003143730771698974,0.9092559251085767,0.9819821207204991,E 暂不使用因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.5,0.042079450590445974,-0.00031948061702034977,basis_shock_20__csz,13.0,basis_shock_20__csz,0.4937067263183487,27,0.6666666666666666,0.011236444675940547,3,0.6666666666666666,0.00682425126919473
9,basis_momentum_20,基差动量,basis_spot,extension,predictor,新鲜可用基差的二十日边际变化,basis_t-basis_t-20,positive,延迟一交易日可用的现货与主力收盘价,computed,,False,True,0.7920279009347377,0.20797209906526226,56080,56093,27,False,2015-02-03,pre_registered_and_data_quality_pass,基差动量,basis_spot,extension,predictor,新鲜可用基差的二十日边际变化,positive,1.0,0.7385511115202283,1198,-0.01128469314836251,-0.005176050963283342,0.3025055351666128,-0.0373040881455183,0.48831385642737896,0.46327212020033387,0.48580968280467446,-0.4045087835900217,0.6859108879010101,-0.08781735063205054,-0.019117063636485354,0.09329217469594384,-0.16025589914346744,-0.19650291633688077,-0.09728641178898044,0.9816666666666668,-0.309011780301406,0.7575817713608995,0.0054516167682543415,0.104855119712252,-0.009360900591657617,-0.05417834159996363,-0.019117063636485354,-0.16025589914346744,-0.0430980116414873,-0.42559915605824955,-0.09999999999999999,-0.00017204766325384967,0.7695585571572309,0.9819821207204991,E 暂不使用因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.5,0.12135456151304856,-0.002338135407062181,basis_momentum_20__csz,14.0,basis_momentum_20__csz,0.6349277164701939,27,0.48148148148148145,-0.00025887097094270066,3,0.6666666666666666,0.007715862250297741
10,curve_curvature,期限结构曲率,term_structure,core,predictor,曲线第二个合约相对第一和第三个合约线性插值的弯曲程度,"2*(log(middle)-interpolate(log(near),log(far)))",mixed,通过流动性和期限硬门的前三个实际合约,computed,,False,True,0.807842195927819,0.19215780407218097,57095,57213,30,False,2015-01-05,pre_registered_and_data_quality_pass,期限结构曲率,term_structure,core,predictor,曲线第二个合约相对第一和第三个合约线性插值的弯曲程度,mixed,1.0,0.9271183320292723,1456,-0.00038980897759247405,-0.007624356910516679,0.23887723406794578,-0.0016318381243546948,0.48695054945054944,0.4635989010989011,0.47870879120879123,-0.7966984027650151,0.4257561882044889,-0.27465407063925573,-0.05391596113345509,0.07656970418729822,-0.6852864075427413,-0.3296719092027838,-0.16354429852344793,0.796917808219178,-1.7796747824437646,0.07617273718690452,-0.03470741992254178,-0.4228769813121616,-0.0462777639988009,-0.5803195642163677,-0.05391596113345509,-0.6852864075427413,-0.07275102154420288,-0.9476320649975003,-0.39999999999999997,-0.0016204018901594436,0.6541333634655425,0.9497988885483094,E 暂不使用因子,True,机器学习接口采用预注册与数据质量硬门；统计结果只作研究报告，不用于回看式选特征,0.3333333333333333,0.03948563056828413,-0.009550147970925812,curve_curvature__csz,15.0,curve_curvature__csz,0.5262275607364006,30,0.36666666666666664,-0.024467912103820315,4,0.75,0.002353704213820139
