feature_name,factor_no,source_factor,transformation,category,protocol_role,economic_meaning,available_date,missing_rate,usage_type,is_interaction,is_missing_indicator,recommended_default,point_in_time_safe,frequency,correlation_cluster,cluster_representative,retained_despite_correlation,selection_uses_target,orthogonalization_policy
tsmom_60__csz,1,tsmom_60,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,trend_momentum,core,波动率调整后的中期趋势延续,2015-04-07,0.039451018045240205,predictor,False,False,True,True,daily_product_panel,1,tsmom_60__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
tsmom_60__missing,1,tsmom_60,raw_missing_indicator,data_quality,extension,时间序列动量原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,2,tsmom_60__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
csmom_60__csz,2,csmom_60,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,trend_momentum,core,同日商品过去收益相对强弱,2015-04-07,0.03829318573324669,predictor,False,False,True,True,daily_product_panel,3,csmom_60__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
csmom_60__missing,2,csmom_60,raw_missing_indicator,data_quality,extension,横截面动量原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,2,tsmom_60__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
trend_efficiency_60__csz,3,trend_efficiency_60,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,trend_momentum,core,价格路径的单向和平滑程度,2015-04-07,0.039451018045240205,predictor,False,False,True,True,daily_product_panel,4,trend_efficiency_60__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
trend_efficiency_60__missing,3,trend_efficiency_60,raw_missing_indicator,data_quality,extension,趋势效率原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,2,tsmom_60__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
multi_horizon_trend__csz,4,multi_horizon_trend,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,trend_momentum,core,20/60/120日趋势方向一致程度,2015-07-02,0.06725311343932672,predictor,False,False,True,True,daily_product_panel,5,multi_horizon_trend__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
multi_horizon_trend__missing,4,multi_horizon_trend,raw_missing_indicator,data_quality,extension,多周期趋势一致性原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,6,multi_horizon_trend__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
carry_annualized__csz,5,carry_annualized,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,term_structure,core,完整可交易曲线最近两个合约之间的年化期限结构补偿,2015-01-05,0.0180311202733614,predictor,False,False,True,True,daily_product_panel,7,carry_annualized__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
carry_annualized__missing,5,carry_annualized,raw_missing_indicator,data_quality,extension,Carry因子原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,8,carry_annualized__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
carry_change_20__csz,6,carry_change_20,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,term_structure,core,期限结构二十日边际变化,2015-02-02,0.0354833243907261,predictor,False,False,True,True,daily_product_panel,9,carry_change_20__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
carry_change_20__missing,6,carry_change_20,raw_missing_indicator,data_quality,extension,Carry变化原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,10,carry_change_20__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
basis_fresh__csz,7,basis_fresh,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,basis_spot,extension,新鲜现货相对主力期货的强弱,2015-01-06,0.19217192397842475,predictor,False,False,True,True,daily_product_panel,11,basis_fresh__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
basis_fresh__missing,7,basis_fresh,raw_missing_indicator,data_quality,extension,基差原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,12,basis_fresh__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
basis_shock_20__csz,8,basis_shock_20,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,basis_spot,extension,基差日变化相对历史条件分布的异常,2015-01-21,0.20427268362938067,predictor,False,False,True,True,daily_product_panel,13,basis_shock_20__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
basis_shock_20__missing,8,basis_shock_20,raw_missing_indicator,data_quality,extension,基差冲击原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,12,basis_fresh__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
basis_momentum_20__csz,9,basis_momentum_20,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,basis_spot,extension,新鲜可用基差的二十日边际变化,2015-02-03,0.20797209906526226,predictor,False,False,True,True,daily_product_panel,14,basis_momentum_20__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
basis_momentum_20__missing,9,basis_momentum_20,raw_missing_indicator,data_quality,extension,基差动量原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,12,basis_fresh__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
curve_curvature__csz,10,curve_curvature,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,term_structure,core,曲线第二个合约相对第一和第三个合约线性插值的弯曲程度,2015-01-05,0.19215780407218097,predictor,False,False,True,True,daily_product_panel,15,curve_curvature__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
curve_curvature__missing,10,curve_curvature,raw_missing_indicator,data_quality,extension,期限结构曲率原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,16,curve_curvature__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
value_252__csz,11,value_252,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,value_reversion,extension,价格相对一年滚动历史锚点的反向偏离,2015-07-10,0.0552511931320776,predictor,False,False,True,True,daily_product_panel,17,value_252__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
value_252__missing,11,value_252,raw_missing_indicator,data_quality,extension,价值因子原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,18,value_252__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
short_reversal_5__csz,12,short_reversal_5,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,value_reversion,extension,过去五日过度反应后的修复,2015-01-12,0.006452797153426948,predictor,False,False,True,True,daily_product_panel,19,short_reversal_5__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
inventory_scarcity__csz,13,inventory_scarcity,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,inventory_fundamental,extension,库存相对历史同期的稀缺程度,2016-01-19,0.7712857586625625,predictor,False,False,True,True,daily_product_panel,20,inventory_scarcity__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
inventory_scarcity__missing,13,inventory_scarcity,raw_missing_indicator,data_quality,extension,库存稀缺因子原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,21,inventory_scarcity__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
inventory_change_5__csz,14,inventory_change_5,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,inventory_fundamental,extension,五日库存下降所表示的边际趋紧,2015-01-19,0.6610234108045523,predictor,False,False,True,True,daily_product_panel,22,inventory_change_5__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
inventory_change_5__missing,14,inventory_change_5,raw_missing_indicator,data_quality,extension,库存变化因子原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,23,inventory_change_5__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
inventory_surprise__csz,15,inventory_surprise,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,information_news,extension,库存相对仅用历史信息形成的条件预期的标准化意外,2015-02-09,0.9465279150546441,predictor,False,False,True,True,daily_product_panel,24,inventory_surprise__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
inventory_surprise__missing,15,inventory_surprise,raw_missing_indicator,data_quality,extension,库存意外／库存新息原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,25,inventory_surprise__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
warehouse_tightness__csz,16,warehouse_tightness,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,inventory_fundamental,extension,注册仓单相对历史同期的紧张程度,2016-01-12,0.18516845048148878,predictor,False,False,True,True,daily_product_panel,26,warehouse_tightness__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
warehouse_tightness__missing,16,warehouse_tightness,raw_missing_indicator,data_quality,extension,仓单紧张因子原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,27,warehouse_tightness__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
tightness_composite__csz,17,tightness_composite,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,inventory_fundamental,extension,仓单、库存、基差和Carry的等权看多方向组合,2016-01-12,0.2943859252774561,predictor,False,False,True,True,daily_product_panel,28,tightness_composite__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
tightness_composite__missing,17,tightness_composite,raw_missing_indicator,data_quality,extension,供需紧张度原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,29,tightness_composite__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
oi_growth_20__csz,18,oi_growth_20,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,trading_liquidity,core,未平仓合约数量的二十日增长,2015-02-02,0.013018553556804369,conditional,False,False,True,True,daily_product_panel,30,oi_growth_20__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
oi_growth_20__missing,18,oi_growth_20,raw_missing_indicator,data_quality,extension,持仓量增长原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,31,oi_growth_20__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
price_oi_interaction_20__csz,19,price_oi_interaction_20,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,trading_liquidity,core,价格方向和新增持仓方向的联合变化,2015-02-02,0.019457230803987424,predictor,False,False,True,True,daily_product_panel,32,price_oi_interaction_20__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
price_oi_interaction_20__missing,19,price_oi_interaction_20,raw_missing_indicator,data_quality,extension,价格—持仓量交互原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,33,price_oi_interaction_20__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
volume_shock_20__csz,21,volume_shock_20,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,trading_liquidity,core,成交量相对历史正常水平的异常,2015-01-19,0.016845048148880326,conditional,False,False,True,True,daily_product_panel,34,volume_shock_20__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
volume_shock_20__missing,21,volume_shock_20,raw_missing_indicator,data_quality,extension,成交量冲击原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,35,volume_shock_20__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
amihud_20__csz,22,amihud_20,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,trading_liquidity,core,单位成交额对应的绝对价格变动,2015-02-02,0.024865154895371444,risk,False,False,True,True,daily_product_panel,36,amihud_20__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
amihud_20__missing,22,amihud_20,raw_missing_indicator,data_quality,extension,Amihud非流动性原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,33,price_oi_interaction_20__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
turnover_oi__csz,23,turnover_oi,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,trading_liquidity,core,相对存量持仓的交易活跃程度,2015-01-05,0.0038688543108074125,conditional,False,False,True,True,daily_product_panel,37,turnover_oi__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
realized_volatility_20__csz,24,realized_volatility_20,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,volatility_risk,extension,过去二十日收益波动风险,2015-02-02,0.016040213492982458,risk,False,False,True,True,daily_product_panel,38,realized_volatility_20__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
realized_volatility_20__missing,24,realized_volatility_20,raw_missing_indicator,data_quality,extension,已实现波动率原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,33,price_oi_interaction_20__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
low_volatility_20__csz,25,low_volatility_20,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,volatility_risk,extension,横截面低波动品种得分更高,2015-02-02,0.016040213492982458,risk,False,False,True,True,daily_product_panel,38,realized_volatility_20__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
low_volatility_20__missing,25,low_volatility_20,raw_missing_indicator,data_quality,extension,低波动因子原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,33,price_oi_interaction_20__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
realized_skewness_60__csz,26,realized_skewness_60,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,volatility_risk,extension,过去六十日收益分布非对称性,2015-04-07,0.03829318573324669,risk,False,False,True,True,daily_product_panel,39,realized_skewness_60__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
realized_skewness_60__missing,26,realized_skewness_60,raw_missing_indicator,data_quality,extension,已实现偏度原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,2,tsmom_60__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
seasonality_3y__csz,27,seasonality_3y,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,value_reversion,extension,过去三年近似同期五日收益的平均,2018-02-12,0.3290785349185281,predictor,False,False,True,True,daily_product_panel,40,seasonality_3y__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
seasonality_3y__missing,27,seasonality_3y,raw_missing_indicator,data_quality,extension,季节性因子原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,41,seasonality_3y__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
sector_relative_value_60__csz,29,sector_relative_value_60,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,industry_chain,extension,品种六十日收益相对板块共同收益的偏离,2015-04-07,0.03829318573324669,predictor,False,False,True,True,daily_product_panel,42,sector_relative_value_60__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
sector_relative_value_60__missing,29,sector_relative_value_60,raw_missing_indicator,data_quality,extension,相对价值残差原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,2,tsmom_60__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
factor_momentum__tsz,32,factor_momentum,prior_only_rolling_date_zscore_window_252_minimum_60_clip_5_missing_to_zero,meta_factor,extension,四个冻结基础因子组合最近二十日已实现收益的持续性,2015-04-21,0.02615006636355932,conditional,False,False,True,True,daily_product_panel,43,factor_momentum__tsz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
factor_momentum__missing,32,factor_momentum,raw_missing_indicator,data_quality,extension,因子动量原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,44,factor_momentum__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
fundamental_composite_news__csz,33,fundamental_composite_news,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,information_news,extension,库存、仓单和基差中至少两类历史模型意外的统一方向组合,2015-02-03,0.2118974330010449,predictor,False,False,True,True,daily_product_panel,45,fundamental_composite_news__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
fundamental_composite_news__missing,33,fundamental_composite_news,raw_missing_indicator,data_quality,extension,基本面综合新息代理原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,12,basis_fresh__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
fundamental_underreaction__csz,34,fundamental_underreaction,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,information_news,extension,模型隐含基本面新息扣除首个可交易日价格反应后的未吸收部分,2015-02-03,0.21205275196972695,predictor,False,False,True,True,daily_product_panel,46,fundamental_underreaction__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
fundamental_underreaction__missing,34,fundamental_underreaction,raw_missing_indicator,data_quality,extension,基本面反应不足代理原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,12,basis_fresh__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
information_consistency__csz,35,information_consistency,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,information_news,extension,仓单、库存、基差和Carry方向一致时放大的综合信号,2016-01-12,0.2943859252774561,predictor,False,False,True,True,daily_product_panel,28,tightness_composite__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
information_consistency__missing,35,information_consistency,raw_missing_indicator,data_quality,extension,信息一致性原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,29,tightness_composite__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
information_divergence__csz,36,information_divergence,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,information_news,extension,供需基本面信号相对价格趋势的未反映差异,2016-01-12,0.29512016040213496,predictor,False,False,True,True,daily_product_panel,47,information_divergence__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
information_divergence__missing,36,information_divergence,raw_missing_indicator,data_quality,extension,信息背离原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,29,tightness_composite__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
warehouse_surprise__csz,39,warehouse_surprise,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,information_news,extension,注册仓单相对历史条件预期的标准化意外,2015-02-03,0.0558301092880743,predictor,False,False,True,True,daily_product_panel,48,warehouse_surprise__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
warehouse_surprise__missing,39,warehouse_surprise,raw_missing_indicator,data_quality,extension,仓单新息原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,49,warehouse_surprise__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
momentum_quality_60__csz,41,momentum_quality_60,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,trend_momentum,core,以趋势效率过滤中期动量路径噪声,2015-04-07,0.039451018045240205,predictor,False,False,True,True,daily_product_panel,50,momentum_quality_60__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
momentum_quality_60__missing,41,momentum_quality_60,raw_missing_indicator,data_quality,extension,动量质量因子原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,2,tsmom_60__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
vol_managed_momentum__csz,42,vol_managed_momentum,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,trend_momentum,core,按短期风险缩放中期趋势方向,2015-04-07,0.03997345457626167,predictor,False,False,True,True,daily_product_panel,51,vol_managed_momentum__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
vol_managed_momentum__missing,42,vol_managed_momentum,raw_missing_indicator,data_quality,extension,波动率管理动量原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,2,tsmom_60__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
idiosyncratic_volatility_60__csz,43,idiosyncratic_volatility_60,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,volatility_risk,extension,剔除商品市场及板块共同收益后的剩余波动,2015-04-03,0.02893168789359235,risk,False,False,True,True,daily_product_panel,52,idiosyncratic_volatility_60__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
idiosyncratic_volatility_60__missing,43,idiosyncratic_volatility_60,raw_missing_indicator,data_quality,extension,特质波动因子原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,53,idiosyncratic_volatility_60__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
term_structure_slope__csz,44,term_structure_slope,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,term_structure,core,用完整可交易曲线加权拟合的年化斜率,2015-01-05,0.19215780407218097,predictor,False,False,True,True,daily_product_panel,54,term_structure_slope__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
